number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,state
33,0.7513428305490778,2026-04-11 21:04:33.347916,2026-04-11 21:04:40.225020,0 days 00:00:06.877104,0.5859066840712754,0.05375097530296472,7,114,898,123,4.834574965520513e-08,8.623975450973279e-07,0.9236975305791996,PRUNED
34,0.750885051564143,2026-04-11 21:04:40.225020,2026-04-11 21:04:43.666258,0 days 00:00:03.441238,0.637811754659259,0.04165383426506589,4,161,1074,97,5.37354102174604e-07,1.4930188560684387e-06,0.9764406935480587,PRUNED
35,0.7571743643268274,2026-04-11 21:04:43.667258,2026-04-11 21:04:56.616388,0 days 00:00:12.949130,0.5468523470313016,0.022194178163761947,6,118,865,138,0.0014523549810305917,1.580294862089641e-05,0.8479434027188816,COMPLETE
36,0.7573481530326847,2026-04-11 21:04:56.618394,2026-04-11 21:05:20.053853,0 days 00:00:23.435459,0.5456557788101665,0.014094278884228048,7,125,899,132,9.099885540627921e-05,1.630330926122681e-05,0.556081676057411,COMPLETE
37,0.752390254320785,2026-04-11 21:05:20.053853,2026-04-11 21:05:37.428535,0 days 00:00:17.374682,0.5482928606810181,0.011604165814446123,9,123,884,138,0.32929041800174724,1.2612256709615817e-05,0.5642172125113806,PRUNED
38,0.7574067628236913,2026-04-11 21:05:37.428535,2026-04-11 21:06:02.045378,0 days 00:00:24.616843,0.5442896957547109,0.01443585074254723,7,109,737,121,1.1522045049759602e-05,0.00010720367081918352,0.6059856531300283,COMPLETE
39,0.7513798709386063,2026-04-11 21:06:02.047384,2026-04-11 21:06:19.330085,0 days 00:00:17.282701,0.697016068891317,0.01442355433248467,10,131,525,124,1.1534982088706013e-05,9.25579236975447e-05,0.6057085943520208,PRUNED
40,0.7456414565548602,2026-04-11 21:06:19.330085,2026-04-11 21:06:28.847653,0 days 00:00:09.517568,0.6175348808608341,0.12090403807148034,9,104,722,114,3.6469230414208926e-06,0.00016625484434147346,0.5407678623173765,PRUNED
41,0.7572772834421463,2026-04-11 21:06:28.849658,2026-04-11 21:06:52.441172,0 days 00:00:23.591514,0.537676315684988,0.014258495859414336,7,121,921,101,0.0001561711762963508,1.1182104679840653e-05,0.6190071777620199,COMPLETE
42,0.7574206772369192,2026-04-11 21:06:52.441172,2026-04-11 21:07:16.817450,0 days 00:00:24.376278,0.5282539476321044,0.014225488836449252,7,104,1114,97,0.0002036241001752367,2.787497602196024e-06,0.6145653877086542,COMPLETE
43,0.758093988147496,2026-04-11 21:07:16.817450,2026-04-11 21:07:38.312693,0 days 00:00:21.495243,0.5345520937128181,0.011477335258928975,7,104,1123,100,0.00013368789980923437,4.765508322259288e-06,0.6227636441956709,COMPLETE
44,0.7514411173691076,2026-04-11 21:07:38.312693,2026-04-11 21:07:48.218770,0 days 00:00:09.906077,0.5677426101661734,0.011269886870378864,8,104,1097,91,2.076182241864567e-05,2.5287155247727723e-06,0.6652229764606469,PRUNED
45,0.7575329167565309,2026-04-11 21:07:48.220774,2026-04-11 21:08:09.163678,0 days 00:00:20.942904,0.6566843568026536,0.011220067651672652,7,89,1493,166,8.920815556017282e-05,2.1134655559678212e-05,0.5740284173567426,COMPLETE
46,0.7523083125650005,2026-04-11 21:08:09.163678,2026-04-11 21:08:25.324851,0 days 00:00:16.161173,0.6547414291817681,0.012159291388835251,8,92,1385,103,0.00014159741165558257,2.913503379013586e-05,0.5824084332255189,PRUNED
47,0.7526823351010863,2026-04-11 21:08:25.324851,2026-04-11 21:08:38.786213,0 days 00:00:13.461362,0.6762286742280886,0.014124239058211625,7,107,1498,115,7.110163544903619e-05,0.00012826313524210597,0.5403317102892633,PRUNED
48,0.7576388430514349,2026-04-11 21:08:38.786213,2026-04-11 21:08:51.191814,0 days 00:00:12.405601,0.5284878432640603,0.017622937230480046,6,82,1156,170,0.00024424747322372237,5.048906301373131e-06,0.6818962697263994,COMPLETE
49,0.7560586564275372,2026-04-11 21:08:51.193822,2026-04-11 21:09:01.278838,0 days 00:00:10.085016,0.7854783568947485,0.017278572153011134,6,80,1144,170,0.00026267597187128546,2.256809494931995e-06,0.7022173640499222,PRUNED
50,0.7578802652399469,2026-04-11 21:09:01.280843,2026-04-11 21:09:09.676236,0 days 00:00:08.395393,0.532200510942934,0.027183333620423952,6,90,1249,166,2.72826342017688e-05,4.699565062382168e-06,0.6833697882465452,COMPLETE
51,0.7577537586383952,2026-04-11 21:09:09.676236,2026-04-11 21:09:20.656395,0 days 00:00:10.980159,0.5337010165128041,0.026471589181828917,6,91,1239,163,2.1849732410734668e-05,6.550934170618835e-06,0.6782802469448544,COMPLETE
52,0.757820460686308,2026-04-11 21:09:20.656395,2026-04-11 21:09:30.420437,0 days 00:00:09.764042,0.5258825594061382,0.027106064172692124,6,89,1238,182,2.887481567723532e-05,6.586199661909336e-06,0.6552887443048502,COMPLETE
53,0.7525250606517075,2026-04-11 21:09:30.420437,2026-04-11 21:09:37.829629,0 days 00:00:07.409192,0.5966062639445289,0.02474254299327439,6,92,1244,180,3.1602783126128615e-05,5.202067518721745e-06,0.6772686315202207,PRUNED
54,0.7579172800622525,2026-04-11 21:09:37.829629,2026-04-11 21:09:48.156569,0 days 00:00:10.326940,0.5274446193433855,0.026757308356785046,6,75,1185,163,4.085827056822462e-06,3.848011443756183e-05,0.6842548283984574,COMPLETE
55,0.7579377798906778,2026-04-11 21:09:48.156569,2026-04-11 21:09:56.727790,0 days 00:00:08.571221,0.5285670181907277,0.02851155246138239,6,59,1176,192,2.784492403106015e-06,4.572623902992278e-05,0.6878723162862285,COMPLETE
56,0.7571354524053513,2026-04-11 21:09:56.727790,2026-04-11 21:10:04.233274,0 days 00:00:07.505484,0.5267765865552017,0.027285932258150757,5,55,1200,187,1.8090321639575494e-06,4.5588726722459226e-05,0.747206551435314,COMPLETE
57,0.7570626901469425,2026-04-11 21:10:04.233274,2026-04-11 21:10:12.578980,0 days 00:00:08.345706,0.5665156176648678,0.02839326668146893,5,27,1365,211,4.369650470520052e-06,0.0007627377835884869,0.6415625871799985,COMPLETE
58,0.7527645111888295,2026-04-11 21:10:12.580988,2026-04-11 21:10:21.433815,0 days 00:00:08.852827,0.6018812880775414,0.025264828561962462,6,73,1275,232,1.242044291677198e-06,3.5034079719793093e-07,0.7239452808670515,PRUNED
59,0.7526526904511635,2026-04-11 21:10:21.433815,2026-04-11 21:10:24.202062,0 days 00:00:02.768247,0.5225041619058196,0.07221155854634147,5,37,1351,144,4.882907146237094e-07,0.0002462973901379148,0.694540122839458,PRUNED
60,0.7519826692492133,2026-04-11 21:10:24.203062,2026-04-11 21:10:29.843426,0 days 00:00:05.640364,0.5788252957346769,0.03314663245101352,6,56,1191,181,2.394416002337915e-05,4.56523117489117e-05,0.6540192734411825,PRUNED
61,0.7580860278622003,2026-04-11 21:10:29.845172,2026-04-11 21:10:41.574859,0 days 00:00:11.729687,0.5298763267328073,0.02322791875315678,6,84,1144,162,7.65930452814876e-06,5.940506108228385e-06,0.6776940838912083,COMPLETE
62,0.7575508610849351,2026-04-11 21:10:41.576864,2026-04-11 21:10:50.931177,0 days 00:00:09.354313,0.5002974864504657,0.029903777320294096,6,98,1246,161,7.680722146940019e-06,6.312016599632839e-06,0.7276928597154619,COMPLETE
63,0.7527665887199688,2026-04-11 21:10:50.933182,2026-04-11 21:10:58.485946,0 days 00:00:07.552764,0.560249470920378,0.022158821887519938,6,75,1335,201,2.8383479159341853e-06,1.4317955485071776e-06,0.6302429485985431,PRUNED
64,0.7575931802933423,2026-04-11 21:10:58.485946,2026-04-11 21:17:17.952632,0 days 00:06:19.466686,0.5287066768301442,0.02526758325584515,5,84,1163,197,8.834868009512978e-06,6.23777593502051e-06,0.772736044263206,COMPLETE
65,0.744923225454187,2026-04-11 21:17:17.953916,2026-04-11 21:17:23.725337,0 days 00:00:05.771421,0.9102072735220003,0.19921514690863554,6,63,978,174,4.328154252611515e-05,3.751853166416284e-05,0.6751254714815245,PRUNED
66,0.7528398300030414,2026-04-11 21:17:23.726778,2026-04-11 21:17:38.686679,0 days 00:00:14.959901,0.620563478137979,0.019512683111870613,6,43,1060,161,1.7424121331917594e-05,1.5143990654904092e-06,0.6925897935643683,PRUNED
67,0.7516641196191012,2026-04-11 21:17:38.688797,2026-04-11 21:17:43.893385,0 days 00:00:05.204588,0.5595117260834295,0.03886199067973111,4,100,1437,186,1.0295993717050228e-06,0.0003987286602923463,0.6514312765736328,PRUNED
68,0.7527696548970693,2026-04-11 21:17:43.895395,2026-04-11 21:17:50.313074,0 days 00:00:06.417679,0.5854734729473156,0.053286763768718104,5,71,1261,146,6.383750832204383e-06,8.455792528396663e-06,0.6635010636544221,PRUNED
69,0.7569346469688184,2026-04-11 21:17:50.313074,2026-04-11 21:18:05.054184,0 days 00:00:14.741110,0.5185807955468166,0.02303929123933152,6,88,1215,218,2.6607505685352045e-07,4.710149241693688e-07,0.6308494003745457,PRUNED
70,0.752016835162429,2026-04-11 21:18:05.056189,2026-04-11 21:18:12.137145,0 days 00:00:07.080956,0.5442051477776838,0.0346694109860284,5,59,1130,193,1.7694890215710462e-06,6.754142315832173e-08,0.7173688047569318,PRUNED
71,0.7583163751539791,2026-04-11 21:18:12.137145,2026-04-11 21:18:25.058833,0 days 00:00:12.921688,0.5271786898792926,0.030222692954455246,6,81,1174,169,0.0006446351036994758,3.953747195711128e-06,0.6816194522893654,COMPLETE
72,0.7576882117278032,2026-04-11 21:18:25.058833,2026-04-11 21:18:37.897965,0 days 00:00:12.839132,0.5156126430630863,0.030783114670728633,6,76,1306,160,0.0008831670670265646,3.4292190833209027e-06,0.7329146272059751,COMPLETE
73,0.7576867590795912,2026-04-11 21:18:37.897965,2026-04-11 21:18:50.459472,0 days 00:00:12.561507,0.5327097862466526,0.03997570112107525,6,86,1173,173,3.697839596529218e-05,1.8571413245051177e-05,0.6866909868738048,COMPLETE
74,0.7576699203612698,2026-04-11 21:18:50.461477,2026-04-11 21:19:06.530010,0 days 00:00:16.068533,0.558559769464847,0.027345395316402833,6,97,1047,151,0.0025211202610426974,6.948663089779373e-05,0.6676952764259624,COMPLETE
75,0.757115138458858,2026-04-11 21:19:06.531758,2026-04-11 21:19:34.049285,0 days 00:00:27.517527,0.5017738710879092,0.021328849943916622,7,69,1112,182,6.228329078591691e-05,1.0177508262016073e-06,0.7006377314455106,PRUNED
76,0.7516223243300124,2026-04-11 21:19:34.051289,2026-04-11 21:19:42.363673,0 days 00:00:08.312384,0.578575979495358,0.03620947180452545,6,80,1284,166,0.00037852804180002047,2.6813040331511255e-05,0.6559244755185815,PRUNED
77,0.7520915043285641,2026-04-11 21:19:42.365678,2026-04-11 21:19:49.204939,0 days 00:00:06.839261,0.5389667047625611,0.023764979408442303,5,110,1190,33,1.5100880635620708e-05,9.496084959890262e-06,0.7626621630569278,PRUNED
78,0.7577501001755911,2026-04-11 21:19:49.206943,2026-04-11 21:20:09.620755,0 days 00:00:20.413812,0.5176679160450497,0.018914810594812627,7,48,1226,205,0.010304729106761683,3.842494774214428e-06,0.709367433302334,COMPLETE
79,0.7528859408673407,2026-04-11 21:20:09.622761,2026-04-11 21:20:18.163211,0 days 00:00:08.540450,0.552761971858904,0.02885947247623631,6,67,1095,155,3.353272987444919e-06,0.00021400908607194943,0.6249466536938075,PRUNED
80,0.7528439874864631,2026-04-11 21:20:18.165216,2026-04-11 21:20:31.565722,0 days 00:00:13.400506,0.5001959512159322,0.03201586819395204,7,92,1320,138,0.0004655838090316146,1.7395014605418174e-06,0.6005466596048418,PRUNED
81,0.7516108612552376,2026-04-11 21:20:31.565722,2026-04-11 21:20:47.625953,0 days 00:00:16.060231,0.5239933383594414,0.01894761043941008,7,49,1230,203,0.0077085249081726296,8.45933063172784,0.7092104474511837,PRUNED
82,0.7583244063354805,2026-04-11 21:20:47.625953,2026-04-11 21:21:10.713412,0 days 00:00:23.087459,0.5136127897564114,0.026377496156275385,7,41,1270,220,0.14959889567653312,4.929424341143158e-06,0.7374229703913441,COMPLETE
83,0.7572235668087863,2026-04-11 21:21:10.713412,2026-04-11 21:21:25.916387,0 days 00:00:15.202975,0.5365977371907759,0.025539948145694262,6,99,1143,252,0.6816147060524994,9.90837105560719e-06,0.7937744135950352,COMPLETE
84,0.7587095160481274,2026-04-11 21:21:25.916387,2026-04-11 21:21:39.218148,0 days 00:00:13.301761,0.5701080350557698,0.03058918242154079,6,40,1387,236,5.305156315033559e-06,0.20905131886245007,0.7368016287946176,COMPLETE
85,0.7592394441465139,2026-04-11 21:21:39.218148,2026-04-11 21:21:59.478748,0 days 00:00:20.260600,0.5696538549264468,0.03084029475563597,7,36,1446,242,0.0395692331166811,0.42045557858874216,0.7461722123200303,COMPLETE
86,0.7575365049897375,2026-04-11 21:21:59.480753,2026-04-11 21:22:21.444249,0 days 00:00:21.963496,0.6094157623976643,0.03560405802493238,7,22,1418,237,0.06263989000460027,0.20814577492696912,0.7348086024831715,COMPLETE
87,0.7516296989968356,2026-04-11 21:22:21.444249,2026-04-11 21:22:32.000526,0 days 00:00:10.556277,0.5739974731169584,0.030942823255723163,8,41,1416,242,0.15619315952449392,3.140845797356831,0.790972976481186,PRUNED
88,0.752080674615117,2026-04-11 21:22:32.002535,2026-04-11 21:22:46.558435,0 days 00:00:14.555900,0.5904856225662591,0.02304525511570633,7,32,1383,228,1.2708578699814022,0.388052504924537,0.7563496343817061,PRUNED
89,0.75918571472055,2026-04-11 21:22:46.560439,2026-04-11 21:23:04.309185,0 days 00:00:17.748746,0.5542340352816726,0.04833664908500958,7,17,1448,216,0.09414958902496219,0.016451770382217505,0.7443508469928236,COMPLETE
90,0.7483904637998559,2026-04-11 21:23:04.311191,2026-04-11 21:23:23.790196,0 days 00:00:19.479005,0.9768075793844078,0.04958346906536054,8,20,1461,225,0.02168200937201777,0.04446126700981586,0.7405347658202783,PRUNED
91,0.7521169075425969,2026-04-11 21:23:23.790196,2026-04-11 21:23:33.826398,0 days 00:00:10.036202,0.5506273488124976,0.06206093033028344,7,29,1457,243,0.05373781817381998,0.9367429238124533,0.8171649925494464,PRUNED
92,0.7525540987806629,2026-04-11 21:23:33.828402,2026-04-11 21:23:45.331891,0 days 00:00:11.503489,0.511490001047158,0.042831338423146195,7,18,1408,219,2.4993949197163237,0.005907220404862368,0.7684050488636143,PRUNED
93,0.7595082190699705,2026-04-11 21:23:45.333896,2026-04-11 21:24:06.682818,0 days 00:00:21.348922,0.5692659875544014,0.03382993496517097,7,14,1355,220,0.17399123913557585,0.0016435026378378462,0.7787472865876012,COMPLETE
94,0.7596889813660058,2026-04-11 21:24:06.684825,2026-04-11 21:24:23.219490,0 days 00:00:16.534665,0.5662075242981088,0.045885310785259245,7,25,1366,214,0.24104684574529178,0.02512180169912958,0.756772338221901,COMPLETE
95,0.7601402496984303,2026-04-11 21:24:23.219490,2026-04-11 21:24:42.931722,0 days 00:00:19.712232,0.5646432383013764,0.04933484470204951,7,13,1339,214,0.44997392984761536,0.03109472146752375,0.7886029423917214,COMPLETE
96,0.7527882394208758,2026-04-11 21:24:42.931722,2026-04-11 21:25:00.468619,0 days 00:00:17.536897,0.6329742310552998,0.04601303348586423,8,13,1350,212,0.1559201146279612,0.022039345206761353,0.7843838498861285,PRUNED
97,0.7582229568710953,2026-04-11 21:25:00.470629,2026-04-11 21:25:17.499779,0 days 00:00:17.029150,0.5682247056040279,0.05477037690632425,7,10,1378,224,0.2788086101128048,0.0017753956429584468,0.7808761143877238,COMPLETE
98,0.752381949407023,2026-04-11 21:25:17.499779,2026-04-11 21:25:28.746541,0 days 00:00:11.246762,0.5662542948862834,0.0683091557726731,7,14,1370,224,0.4393637715681193,0.0015327236430210491,0.8109144533078345,PRUNED
99,0.7567983175155611,2026-04-11 21:25:28.748546,2026-04-11 21:25:46.942957,0 days 00:00:18.194411,0.6061773652989847,0.04940288630633851,7,10,1484,239,0.19906292723819724,0.012765005196728694,0.7802141914386427,PRUNED
